#survey ^b.slivovii
#survey_team П.Ковешников, А.Янина
#survey_date 17.08.15
#survey_title п.Банка верх б.Сливового - верх "Пушистика"
#color[1]
 
#data_order L Az An l r u d
#from_to
1 2	2.2 95 4.4 0.25 0.25 1.5 0.5 #com уступ ~3м с веревкой перед к.б.Сливовый
2 3	7.3 95 -66 0.5 0.5 0.5 - #com узел заячьих ушей навески ~3м
2 -	1.7 280 -58
3 4 3.5 71 9 - - - -
3 -	2.6 280 0
3 -	2 0 60	
3 -	0.7 180 0
3 -	6 0 90
%3 -	2 75 -33
4 5 4.8 110 0 0.7 0.9 - 0.4
4 -	1.7 110 72
5 6 3.8 10 -80 - 0.7 3 - %#com узел 9ка спуска в б.Сливовый
5 -	1.6 340 50 
5 -	2.8 116 34
5 -	1 179 42
5 -	0.9 295 -61
6 7 3.2 115 -57 - - - -
6 -	0.1 10 0
6 -	0.5 190 0
6 -	1.4 280 20
6 -	0.9 105 0.1
7 8 4.66 0 -44 - - - -
7 -	1 268 0
7 -	0 0 0
7 -	3.5 50 30
7 -	5.3 30 5.2
7 -	2 5 60
7 -	1.5 320 17.5
8 9 13 95 -66 - - - -
8 -	0 0 0
8 -	3.6 200 0
8 -	3.7 140 3
8 -	13 120 5
8 -	4 95 0
8 -	3.2 50 0
9 10 16 130 -80 - - - -
9 -	0 0 0
9 -	4.7 300 0
9 -	5.6 230 0
9 -	1.4 170 0
9 -	3.5 70 0
10 11 2.4 220 -52 - - - -
10 - 2 310 21
10 - 5.7 80 31
10 - 4.4 150 31
10 - 3.8 240 0
11 12 6.35 142 -42 - - - -
11 - 0 0 0 
11 - 3.3 260 0
11 - 1.8 185 0
11 - 2.8 115 0
12 13 1.35 165 3 - - - 1
12 - 0 0 0
12 - 1.2 15 -51
12 - 0.6 270 14
13 14 2 95 2 - - 4.4 0.4
13 - 2.3 40 44
13 - 2.4 220	51
14 15 1.6 125 8.8 0 0.8 2 1
15 16 5.2 230 -61 - - - -
15 - 1.5 330 -70
15 - 0.7 250 0
15 - 2.4 180 50
15 - 1.8 90 58
16 17 2.2 152 30 0.7 0.2 1.5 0
16 - 2.3 175 63
17 18 3.6 145 -23 1.6 0.8 0.2 2
18 19 7.4 180 -78 - - - -
18 - 3.6 330 -6
18 - 1 60 0
18 - 11 190 60
18 - 10 220 44
18 - 3 260 40
19 20 8 230 -30 - - - -
19 - 0 0 0
19 - 7.6 310 -63
19 - 4 270 -4
19 - 13	235	0
20 21 2.8 239 -42 - - - -
20 - 0 0 0
20 - 0.8 270 -34
20 - 0.8	210	23
20 - 1.5 160 -46
21 22 2.4 207 27 0 0.2 0.3 1.5
22 23 7.4 210 -66 - - - - 
22 - 1 130 -44
22 - 0.8 240 20
22 - 1.4 325 -57
22 - 1.3 40 -71

#from_to 
1' 0' 4.1 90 -11 - - - - #com дно мокрой штанины
1' 2' 5.5 342 51 - - - -
1' - 1 170 40
1' - 2 45 8
1' - 2.7 320 -7
1' - 3 240 5
2' 24 14.5 350 81 - - - -
2' - 2.5 155 -4
2' - 5 70 7
2' - 2.5 330 27
2' - 3.3 240 46

#from_to
23 24 4.6 200 -72 - - - - #com начало перил над мокрой штаниной (11.5 или 1.5?)
23 - 2.3 90 -12
23 - 1.8 340 60
23 - 1.8 225 46
23 - 2 135 -42
24 25 11.5 233 7.6 - - - - 
24 - 0 0 0
24 - 5.3 220 50
24 - 2.5 150 5.6
24 - 6.4 90 -50
25 26 7.6 197 46 - - 12 0
25 - 1.2 350 8
25 - 2.5 100 5
26 27 1.7 232 -5 0.2 1.5 1 1
27 28 10 120 -76 0.5 1 0 -
27 - 1.5 0 -65
28 29 4.5	0 -90 - - - -
28 - 2 0 0
28 - 0.9 90 -30
28 - 3 180 -64
28 - 1 260 7
29 30 3 185 -22 - - - -
29 - 1.7 270 63
29 - 0 0 0
29 - 1 60 63
29 - 3 190 28
30 31 4.4 172 -42 0.3 0 1 0.8
31 32 1.5 210 14 0.4 0.7 3 0.5 #com на средней точке перил выхода в пушистика, 3й анкер
#end_survey

#equate b.slivovii.32 pushok.0

#survey ^pushok
#survey_team Н.Иванов, А.Шикалова
#survey_date 17.08.15
#survey_title Пушистик
#color[2]
% ежики и описания относятся к 1му (меньшему пикету)


#data_order L Az An
#from_to 
% габариты выхода в пушистика 0.3 0.7 0.9 0.2

#data_order L Az An l r u d
0 1 2.62 147 -41  0.6 0 2.5 1.25        
#data_order L Az An
1 2 28.03 100 -86
%	ежик 1
%1 -	4.9 90 0
%1 - 	0.7 210 0
%1 - 	3.1 140 0
%	ежик 2
1 -	0 0 0
1 -	8 130 0
1 -	3.7 250 0
1 -	5.25 110 0
1 -	5 180 0
1 -	2 280 0
2 3 11.65 106 -78 #com откачка
2 -	0 150 0
2 -	1.5 60 0
2 -	5.8 220 0
2 -	12.2 270 0
2 -	1.7 330 0
3 4 10.2 60 -75
3 -	0 190 0
3 -	1.7 120 0
3 -	12 90 0
3 -	4.3 60 0
3 -	4.2	0 0
3 -	8.9 300 0
3 -	17 270 0
3 -	4.5 250 0
4 5 13.5 90 -83
4 - 0 210 0
4 - 2.8 100 0
4 -	4.7 30 0
4 -	15.5 290 0
4 -	8.2 320 0
4 -	4.5 0 0
5 6 11.1 70 -80
5 - 0 130 0
5 -	4.7 40 0
5 -	7.3 330 0
5 -	2.5 240 0
5 -	14.5 270 0
5 -	8.9 300 0
6 7 14.5 325 -75
6 -	4.4 130 0
6 -	3.3 60 0
6 -	8	30 0
6 -	1.8 330 0
6 -	6.8 210 0
6 -	5.5 270 0

7 7' 13.1 245 15
7' 7" 7.2 170 -35 
7 8 3.5 60 3 

#end_survey

#equate pushok.8 charming.0

#survey ^charming
#survey_team А.Янина, А.Кулагин
#survey_date 17.08.15
#survey_title Очаровашка
#color[3]


#data_order L Az An
#from_to 

0 1 1.8 350 -12.7 #com крайний анкер перед спуском в очаровашку
0 -	3.5 290 0
0 -	5.7 0 0
0 -	17.6 238 22.7
0 -	9.1 203 9.3
0 -	0 0 0
1 2 7.9 40 -69.7 #com уши на спуск
1 -	4.5 47.5 0
1 -	2.6 350 0
1 -	1.2 116 0
1 -	1.1 202 21.6
2 3 9.9 225 -14.3 #com первая полка
2 -	0 0 0
2 -	3.2 302 0
2 -	6.3 26 0
3 4 6.7 220 -65.5 #com до середины параллельного колодца
3 -	2 320 0
3 -	0 150 0
3 -	2.7 236 0
3 -	4.4 238 59 %#com потолок 11-ного колдца
2 5 1.2 30 -7.9
5 6 5 8 -71.6
6 7 16.4 240 -78.2  #com полка 2я
6 -	0 240 0
6 -	2.3 70 0
6 -	3.4 320 0
6 -	6.1 183 0
7 8 6.5 254 6.6 
7 -	3.8 327 0
7 -	6.7 35 0
7 -	1 127 0
8 4 11.7 208 58 #com до пупыря параллельного колодца
8 -	4.7 208 0
8 -	2.4 149 0
8 -	0 295 0
8 -	4.6 218 0
7 9 3.9 42 -2.5
9 10 15.6 55 -79.5
10 11 17 210 -82
10 - 0 120 0
10 - 4.1 50 0
10 - 5.5 355 0
10 - 4.6 260 0
10 - 4.7 300 0
11 12 15.4 44 -78
11 - 0 120 0
11 - 1.8 70 0
11 - 10.2 65 0
11 - 4.4 40 0
11 - 4.9 270 0
11 - 5.7 0 0
12 13 2 99 -7.4 #com спит правый дна очаровашки (левый с Лешиной топы)




#end_survey



