
#equate metro16msu.105 tron16msu.5

#survey ^tron16msu
#survey_title Тронный 2016 МГУ, съемка зизагом для посмтроение поверхности
#survey_team Ковешников П. Янина А.
#survey_date 09,10 января 2016 г. 


36 - 0.7 - -90

37 38 14.5 192 0.2
37 - 32.5 - 90
37 - 0.7 - -90

38 39 17.2 189 6.8 #ztn #red
38 - 30 - 90
38 - 0.6 - -90
38 - 7.3 15 -22.2

39 40 14.27 333 -2.4 
39 - 24 - 90
39 - 1.3 - -90
39 - 13.7 178 36.7

40 41 12.14 356 -9.4 #com питерская площадка
40 - 28 - 90
40 - 1.2 - -90


41 42 10 358 10.1
41 - 0 - -90
41 - 38 - 90

42 43 26 5 4.5
42 - 37 - 90
42 - 0.8 - -90

43 44 12.7 6 15.6 #ztn #red
43 - 31 - 90
43 - 0.2 - -90 

44 45 22.3 216 -5.9
44 - 26.8 - 90
44 - 0.6 - -90
44 - 18 25 34.4
44 - 14 25 -4

45 46 12.3 211 -14.7
45 - 1 - -90
45 - 33.4 - 90

46 47 19.8 203 -6.5
46 - 35 - 90
46 - 2 - -90
46 - 11 205 -29

47 48 11.7 167 -11.2
47 - 34 - 90
47 - 1.5 - -90

48 49 22.4 147 -22.8 #ztn #red
48 - 30 - 90
48 - 0.6 - -90

49 50 24.3 308 17.2 
49 - 23 - 90
49 - 0.6 - -90
49 - 16 141 -12
49 - 16 141 52.6 

50 51 2 5 12.4
50 - 23 - 90
50 - 1.5 - -90

51 52 11 14 8.4
51 - 25.5 - +90
51 - 0.3 - -90

52 53 35.8 12 4.7
52 - 34.5 - +90
52 - 1.3 - -90

53 54 27.4 328 13.2 #ztn #red
53 - 33.7 - 90
53 - 0.8 - -90
53 - 46 190 40.3
53 - 22.7 190 -16

54 55 3.9 171 13.7 
54 - 32.8 - +90
54 - 1.5 - -90
54 - 30.5 325 38.4
54 - 33.5 340 0
54 - 19 328 -23

55 56 23.5 186 -11.2
55 - 32 - +90
55 - 0.3 - -90
55 - 5 180 -30

%10.01 Янина Ковешников

56 57 14.6 193 -23.9
56 - 35 - 90
56 - 0.9 - -90

57 58 11.43 173 -5.4
57 - 6.2 163 -27.8
57 - 32 - 90
57 - 0.8 - -90

58 59 16.76 228 2.9 #ztn #red
58 - 31 - 90
58 - 1 - -90

59 60 16.36 352 -8.3 
59 - 7.3 210 -9.8
59 - 11.22 210 55.1
59 - 20.4 - 90
59 - 0.4 - -90

60 61 23.36 12 12.5
60 - 10.5 202 -19.4
60 - 32.8 - 90
60 - 0.5 - -90

61 62 12.57 38 14.9
61 - 38 - 90
61 - 1 - -90

62 63 13.13 6 3.5
62 - 36.7 - 90
62 - 1 - -90

63 64 31.28 333 -8.3 #ztn #red
%63 - 0 0 0
63 - 22.4 333 -21.6
63 - 31.5 - 90
63 - 5.3 - -90 

64 65 10.1 230 -29.4
64 - 19.6 12 62.9
64 - 5 2 23
64 - 22 - 90
64 - 0.5 - -90

65 66 21.9 182 -18.5
65 - 13 188 -36.9
65 - 28 - 90
65 - 0.8 - -90

66 67 22.5 168 12.1
66 - 38 - 90
66 - 0.35 - -90

67 68 8.88 196 -2.4
67 - 34.4 - 90
67 - 0.6 - -90

68 69 25.84 231 8.6 #ztn #red #com "питерский" водокап, около 17 пикета Дегтерева %Z
68 - 9.8 229 -7.6
68 - 32.7 - 90
68 - 0.4 - -90

69 70 30 359 -14.8 
69 - 5 213 -19.6
69 - 15 348 -24
69 - 20 - 90
69 - 0.4 - -90

70 71 23.8 34 9.7 
70 - 10 195 5.7
70 - 4.8 35 -44
70 - 15.7 35 -2.3
70 - 31.6 - 90
70 - 1.7 - -90

71 72 25 6 0 #ztn #red
71 - 0 0 0
71 - 9.8 40 -5.5
71 - 18 10 -16.8
71 - 28.4 - 90

72 73 22.6 227 -9.8 
72 - 6.7 5 23.5
72 - 4.7 225 -25.7
72 - 22 - 90
72 - 0.8 - -90

73 74 19.3 200 -12.2
73 - 12.2 42 -16
73 - 26.4 - 90
73 - 0.5 - -90

74 75 17.87 206 -7.3
74 - 6 210 -31
74 - 28.7 - 90
74 - 0.8 - -90

75 YK2 11.5 215 -21.5 #ztn #red 
75 - 9 215 -31.6
75 - 22 - 90
75 - 0.5 - -90

YK2 77 11 348 5.1 %Z #com 16 пикет дегтерева 
YK2 - 8 - 90
YK2 - 1.5 - -90

77 78 5.4 29 3.7 
77 - 4.4 210 -32
77 - 9.7 210 64
77 - 18.8 - 90
77 - 0.88 - -90

78 79 30.9 24 8.7
78 - 4 45 -48
78 - 14 25 -9.2
78 - 31.8 30 56.2
78 - 19.7 - 90
78 - 1.2 - -90

79 80 11.8 342 -16.8 #ztn #red
79 - 26.3 - 90
79 - 0.8 - -90

80 81 15.13 230 -13.2 
80 - 17 330 -20
80 - 17.56 330 22
80 - 24 - 90
80 - 1 - -90

81 82 15.7 207 -21.7 #ztn #red
81 - 22 - 90
81 - 0.5 - -90

82 83 12.6 338 -13.9
%82 - 5.5 230 -18
%82 - 16 230 74
82 - 18 - 90
82 - 0.5 - -90

83 84 9 342 11.9
%83 - 4.7 230 -53
%83 - 9.3 240 50.3
83 - 20.5 - 90
83 - 0.5 - -90

84 85 13.87 44 2.7
%84 - 3.76 270 -7
84 - 10 - 90
84 - 0.5 - -90


85 86 4.8 45 4
%85 - 12.2 280 -10.2
85 - 16 - 90
85 - 0 - -90
%85 - 14.3 275 53.5
85 - 9 0 -18.2
85 - 13.4 0 58

#end_z_survvey

86 D14 10.5 279 -10.4 #com 14й пикет Дегтерева
86 - 9 45 14.4
86 - 13 25 71
86 - 13.7 - 90
86 - 0.5 - -90

D14 - 0 0 0

#end_convex_surf
#end_survey

#equate tron16msu.YK2 petin16msu.YK2

#survey ^petin16msu
#survey_team Ковешников П. Янина А.
#survey_date 10 января 2016 г. 

YK2 87 6.43 247 -37.1
YK2 - 3.8 325 -27.6
YK2 - 5.8 325 53.2
YK2 - 7.6 160 50.9
YK2 - 7.5 160 -1.8
YK2 - 4.3 180 -29.6
YK2 - 9 - 90

87 88 8.3333 283 -23.4
87 - 6.3 160 4.2
87 - 6.7 175 -13.5
87 - 5.39 320 -24.6
87 - 1.5 - 90
87 - 1 - -90

88 89 15 241 -23.8
88 - 8 155 -15.2
88 - 8.6 170 33.5
88 - 12 210 54.2
88 - 1 350 -66
88 - 4 - 90

89 90 4.1 238 -27.5
89 - 3 180 -27.5
89 - 11.5 190 72.5
89 - 6.8 320 77.2
89 - 1.3 345 -28.4

90 91 7.45 261 -46.7
90 - 2.4 290 33.4
90 - 1 15 -14.6
90 - 1.4 30 -72.6
90 - 0.6 75 -60

91 92 8 283 19.1
91 - 0.5 180 -4.5
91 - 7 313 77.5
91 - 2 350 -24

92 93 3.7 266 -7.8
92 - 1.7 180 25
92 - 2.6 340 11.7
92 - 2.6 165 -53
92 - 16 - 90

93 94 4.17 288 -47.2
93 - 3 170 47.6
93 - 4 310 60.8
93 - 2.3 310 -50
93 - 0 0 0
93 - 14.6 - 90
93 - 0.7 - -90

94 95 3.7 247 -11.2 #com слева колодц с сильеым воодотоком h > 25м
94 - 3.4 200 33.6
94 - 2.6 300 72.5
94 - 0.44 5 -4.7
94 - 0.7 170 -38.6

 

95 96 8.5 287 21.1
95 - 3.3 205 47
95 - 11.6 215 -32.2
95 - 4 350 63.8
95 - 0 0 0
95 - 3 55 -25.5

96 97 8.4 256 14.6 #com капает сверху, чисто нет глины% есть спуск на текущий по меандру ручей
96 - 2.7 330 80.2
96 - 3.4 170 37.7
96 - 3.78 185 -36.3
96 - 0 0 0
96 - 2.26 180 -59.5

97 98 3.57 290 13.5
97 - 2.3 290 79.2
97 - 4.8 340 73.7
97 - 0 0 0
97 - 1.48 0 -47.1

98 99 12.5 276 0
98 - 3.6 5 -35.5
98 - 0 0 0
98 - 2 195 -47.5
98 - 1.7 - 90

99 100 4.47 269 35.1 #com первый анкер навески
99 - 0.74 355 -4.5
99 - 3 170 52.8
99 - 1.7 184 35.5
99 - 2 - 90

100 101 6 272 -8.8 #com начало перил
100 - 1.2 15 -61.6
100 - 0.58 210 40.5
100 - 1.6 190 16
100 - 2.5 190 -37.4

101 102 2.26 325 -50.5 
101 - 2.5 20 15.4
101 - 2.2 25 -25.2
101 - 1.3 20 -76.5
101 - 2.7 - 90

102 103 6.62 302 0.4
102 - 5.6 220 63.2
102 - 3.4 340 69.3
102 - 9.6 290 -76.6
102 - 7.3 340 -72.8 

103 104 3.37 263 -0.6  #com пикет 82 дегтерева
103 - 8.5 82 -68
103 - 6.2 10 50
103 - 0 0 0
103 - 5.8 199 49
103 - 2.6 199 -33.2

104 105 2.7 320 -12
104 - 1.5 190 -35
104 - 5.2 190 59
104 - 3.6 20 50.6
104 - 1.2 20 -20.5

105 106 4.24 320 7.6
105 - 3.2 220 -25.6
105 - 2.8 220 0
105 - 2.4 34 31.7
105 - 1.2 34 -13.3
105 - 1.12 - 90

106 107 15.73 281 -2
106 - 4 210 -30
106 - 2.2 210 50.8
106 - 2.5 10 -40.5
106 - 0 0 0
106 - 1.4 236 -67.1
106 - 9.16 - 90

107 108 3.6 316 9.3
107 - 3.4 232 18.1
107 - 1.66 0 -21.8
107 - 11.8 23 74.7

108 109 2.9 301 -21.6
108 - 0.7 30 -18.6
108 - 3.2 205 -1.9
108 - 6 - 90

109 110 5.6 292 -24
109 - 0 0 0
109 - 1.16 200 5.3
109 - 1 - 90

110 111 4.8 302 -8.4
110 - 0 0 0
110 - 1.4 210 -30
110 - 5.3 - 90

111 112 3.1 316 -12.2 #com 86 пикет дегтерева
111 - 0 0 0
111 - 1 210 -16
111 - 4.3 210 50.8
111 - 3.8 18 33
111 - 1.6 30 -56.3
111 - 1 0 -90

112 113 3.76 276 20.4 #com по низу течет ручей
112 - 1.35 222 -23.7 
112 - 5.2 220 65
112 - 5.7 205 58.2
112 - 5 - 90

113 114 2.5 266 40 
113 - 0 0 0
113 - 2.2 168 58.7
113 - 1.2 172 -44
113 - 1.5 - 90

114 115 7 288 36.1
114 - 0 0 0
114 - 0.9 185 -7.3
114 - 2.3 185 48
114 - 4.7 9 69.2
114 - 1 10 -5.3

115 116 6.6 265 13.9
115 - 7.7 180 58
115 - 2 180 -46.7
115 - 7.5 - 90
115 - 1.4 - -90

116 117 6.5 276 6.1
116 - 0 0 0
116 - 3 4 57.7
116 - 1.8 20 -43
116 - 15.3 - 90

117 118 3.27 238 4.1
117 - 0 0 0
117 - 2.7 180 51.4
117 - 1.5 195 -31.7
117 - 1.6 - 90

118 119 3.8 283 -21.8
118 - 1 335 58.9
118 - 2 355 -76.7
118 - 1 - 90
118 - 2 - -90

119 120 6.21 297 -6.8
119 - 0.8 0 36.1
119 - 0 0 -90
119 - 1.8 - 90

120 121 9.8 280 1.3 #com ручей внизу
120 - 1.4 190 27.5
120 - 1 340 -6.5
120 - 6 325 56.6
120 - 16.3 - 90

121 122 6 280 4.9 
121 - 1.8 225 71.4
121 - 1.5 203 51.6
121 - 1.2 - -90
121 - 5.6 - 90

122 123 13.76 287 -2.2 #com уход с воды
122 - 0.8 22 -6.2
122 - 7.7 22 76
122 - 0.6 185 -8
122 - 7 - 90

123 124 2.8 282 30.3
123 - 0.5 200 1.4
123 - 1.2 200 -54
123 - 0.25 10 -1
123 - 9.7 - 90
123 - 0.8 - -90

124 125 5.5 288 25.8
124 - 0.5 180 0 
124 - 0.4 0 0
124 - 7.4 - 90
124 - 1.4 - -90

125 126 8.2 276 10.8
125 - 3.4 356 73.4
125 - 0.6 356 0
125 - 2.2 185 -48.8
125 - 0 0 0
125 - 14.3 - 90

126 127 4.7 288 48
126 - 0 0 0
126 - 1.1 310 71.7
126 - 0.56 10 0 
126 - 0.8 10 -47

127 128' 5 273 25.4
127 - 0 0 0
127 - 0.6 172 0 
127 - 0.7 - 90  
127 - 0.3 - -90

128' 129 7.6 320 13.7
128' - 11 10 64
128' - 17 2 53.1
128' - 5 0 24.4
128' - 1.2 0 -20.7
128' - 4.5 - 90
128' - 1 - -90

129 130 5.7 262 20.4
129 - 11 105 82.2
129 - 7.7 170 63.5
129 - 4.23 165 -21.2
129 - 3.7 - 90

130 131 4.48 270 24.8
130 - 2.25 190 -36.8
130 - 4.7 190 56
130 - 2.6 330 60
130 - 0.6 330 9.3
130 - 0 0 0
130 - 8.7 - 90

128' 132 9 73 2.6

132 133 3.6 330 0
132 - 2.5 283 -41
132 - 4.3 283 11.9
132 - 9.3 283 49.3
132 - 8 120 51
132 - 14 120 0 
132 - 0 0 0
132 - 8 - 90

133 134 10.7 313 -42.6
133 - 1.7 28 -72
133 - 0 0 0
133 - 2.7 30 -30
133 - 2.8 30 39.3
133 - 1.47 320 46.9

134 135 7.067 283 -59
134 - 0 0 0
134 - 1.23 210 -58.7
134 - 1.38 0 -62.9
134 - 2 - -90

135 136 13.25 290 -33.3
135 - 0 0 0
135 - 1 190 -9.6
135 - 4 220 56.3
135 - 6 0 66
135 - 4 10 -44

136 137 12.5 285 -22.5
136 - 4.6 315 -36.5
136 - 3 303 4.6
136 - 3 268 0
136 - 3.4 253 -45.2

137 138 13 270 -30.3 #com второй этаж?
137 - 0.6 160 -8.9
137 - 8.5 216 55
137 - 9.6 350 66.8
137 - 2.6 340 -12.6
137 - 9 - 90

138 139 4.15 263 -52 
138 - 9.3 337 87.1
138 - 10.7 160 81.5
138 - 1.5 335 -28.6
138 - 1.3 170 -50.8

139 140 8.9 249 -8.8 #com водоток сверху
139 - 14 274 -58.3
139 - 13 245 -58.4
139 - 5.8 292 62.2
139 - 14.2 268 72.6
139 - 14.8 240 67.3
139 - 5 215 25.3

140 141 8 265 7.3 
140 - 4 350 0
140 - 1.3 170 0
140 - 9 - -90
140 - 6.5 - 90

141 YK3 4 330 -32
141 - 0 0 0
141 - 8 350 56
141 - 5.5 0 -22
141 - 1.7 - -90

#end_survey

